How many employees directly report to you?,What is your hierarchical level within your organization?,What is your job function?,How many years have you held your current position?,What is your gender?,How old are you?,What is the size of your organisation?,What type of environment do you reside in?,What is your current place of residence?,Did you suffer from a burnout in the last 6 months?,What is the primary industry sector your organization is working in?,How stressed do you feel?,What was your perceived workload in the last month (none - too high)?,"During the last month I felt anxious (1 not at all, 7 extreme)?","During the last month I felt unmotivated (1 not at all, 7 extreme)?","During the last month I felt stressed (1 not at all, 7 extreme)?",What was the perceived number of stressfull events in the last month (none - too high)?,What was your perceived level of control over your life during the last month (none - full)?,The amount of physical activity was?,The quality of my sleep was?,My job satisfaction was?,My job productivity was?,I feel aligned with my team leader?,"I feel engaged at my daily work (1 not at all, 7 extreme)?","I feel appreciated at my workplace (1 not at all, 7 extreme)?","I feel aligned with my other team members (1 not at all, 7 extreme)?","I have a healthy work-life balance  (1 not at all, 7 extreme)?","How close to you feel you are to a burnout? (1 not at all, 7 extreme)?","My abilities fit my job requirement well (1 not at all, 7 extreme)?","How many lottery tickets, tombolas, or games of chance with very low probabilities of winning have you purchased in the past year?","How many times have you gambled for money in the past year (casino, sports-bets, online gambling etc.)?","How many high-risk investments (e.g., cryptocurrency, penny stocks) have you made in the past year?","Do you engage in extreme sports or activities with a known risk of physical injury (rock climbing, skydiving, motorbike racing etc.)?",How many times did you quit a stable job to pursue a career or business opportunity with uncertain outcomes?,How many speculative or unproven business ideas have you invested in within the past five years?,How many times have you traveled to an unfamiliar destination without making detailed plans or reservations?,How many new products or services have you purchased without reading reviews or consulting others?,"How many spontaneous decisions (e.g., last-minute travel, major purchases) have you made in the past 5 years?",How many times have you attended events or activities without knowing anyone there beforehand?,How many times have you changed your career path or job direction in the past 5 years?,"How many insurance policies (e.g., health, life, travel, product warranties) to protect against the possibility of loss have you purchased in the past 5 years?",How many refund policies or money-back guarantees have you utilized in the past 5 years?,"Which one do you prefer: secure, low-return financial products or a riskier, high-return alternative?",How many times have you rejected a job or project opportunity with significant benefits because it involved significant financial or status risk?,"How many high-risk, high-reward investments have you made in the past 5 years?",How many fitness or personal improvement challenges have you taken on in the past 5 years to achieve measurable goals?,How many times have you pursued bonuses or promotions in your job in the past 5 years?,How many times have you avoided giving advice to not be accountable for the outcome in the past 5 years?,"In team-, group of friends- or family-decisions how often are you the one who makes the final call? (in percentages)","How often have you voiced a controversial opinion in a public setting, knowing it might result in social backlash in the past year?","How often have you set a goal for yourself that statistically only a small percentage of people achieve (e.g., climbing Everest, writing a bestseller) in the past 5 years?","Have you ever avoided volunteering for roles (e.g., on a board, committee, or leadership position) where you would be responsible for making impactful decisions for a group?",How satisfied are you with your current job?,To what extent do you feel your work is meaningful?,How supported do you feel by your team leader?,How well does your current role align with your personal values?,Have you considered changing jobs in the past 6 months?,Do you feel appreciated at your organization?,Would you recommend your workplace to others?,How would you rate your job performance over the past year? (Self-assessed),Did you receive any formal recognition or bonus in the past 12 months?,How was your job productivity over the last month?,To what extent did you meet your KPIs in the last year?,How much was the rating of your job productivity for the last year?
1-5,Intermediate level staff,Information Technology,1-3,Male,18-25,10-49,Urban,India,No,IT / Software / Tech,Medium,,,,,,,,,,,,5,6,5,5,3,6,0,3-5,1-3,Yes,1-3,0,1-3,0,3-5,0,No answer,0,0,"secure, low-return financial products",1-3,0,3-5,No answer,0,60%,0,0,No,Satisfied,Very,Very,Somewhat,No,Very,Probably yes,Exceeds expectations,Yes,Average,No answer,
0,Intermediate level staff,Healthcare Services,5-10,Female,26-35,>1000,Suburban / agglomeration,Canada,Yes,Health Care,High,,,,,,,,,,,,5,5,5,4,5,7,5-10,0,0,No,0,0,0,1-3,0,3-5,0,0,1-3,"secure, low-return financial products",0,0,1-3,3-5,10-20,30%,0,0,No,Dissatisfied,Somewhat,Very,Very,"Yes, occasionally",Slightly,Probably not,Meets expectations,No,,Very,Average
0,Senior staff,Business Development,1-3,Male,26-35,50-249,Suburban / agglomeration,Germany,Yes,Manufacturing,Low,,,,,,,,,,,,5,6,5,3,3,5,0,0,1-3,No,1-3,0,1-3,5-10,3-5,3-5,1-3,1-3,3-5,"secure, low-return financial products",1-3,0,1-3,1-3,5-10,30%,0,0,Yes,Satisfied,Somewhat,Very,Somewhat,"Yes, occasionally",Somewhat,Probably not,Exceeds expectations,Yes,High,Somewhat,
10-20,Senior staff,Consulting,1-3,Male,46-55,>1000,Urban,United Kingdom,Yes,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Consulting,5-10,Female,46-55,1-9,Urban,Switzerland,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,First-level management,Human Resources,3-5,Male,36-45,>1000,Rural,Canada,Yes,Government / Public Administration,Medium,,,,,,,,,,,,5,5,5,6,6,6,>20,>20,1-3,No,0,0,5-10,1-3,5-10,0,0,1-3,1-3,"secure, low-return financial products",0,0,5-10,5-10,1-3,60%,1-3,1-3,Yes,Neutral,Somewhat,Slightly,Somewhat,"Yes, frequently",Slightly,Probably not,Meets expectations,Yes,Average,Slightly,
0,First-level management,Community and Social Services,>10,Male,56-65,>1000,Rural,United States,No,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Personnel supérieur,Développement commercial,1-3,Homme,36-45,1-9,Urbain,Italie,Non,Transport,Moyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Support,0-1,Male,26-35,>1000,Urban,United States,Yes,Transportation,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Product Management,0-1,Diverse,26-35,250-1000,Urban,Germany,No,Media,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Einstiegsebene,Personalwesen,0-1,Weiblich,18-25,>1000,Städtisch,Deutschland,Nein,IT / Software / Technologie,Mittel,,,,,,,,,,,,6,7,7,7,1,6,0,0,5-10,Nein,1-3,0,1-3,1-3,0,1-3,1-3,0,1-3,"sichere, niedrig verzinste Finanzprodukte",0,0,1-3,Keine Antwort,1-3,30%,5-10,0,Nein,Sehr zufrieden,Etwas,Sehr,Ein wenig,"Ja, häufig",Extrem,Auf jeden Fall,Übertrifft die Erwartungen,Ja,Hoch,Etwas,
0,First-level management,Program and Project Management,1-3,Female,26-35,50-249,Urban,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Logistics / Supply Chain,0-1,Female,26-35,50-249,Urban,Brazil,No,Transportation,High,,,,,,,,,,,,4,4,6,4,5,6,10-20,1-3,0,No,0,0,0,1-3,1-3,1-3,1-3,0,0,"secure, low-return financial products",1-3,0,0,1-3,3-5,30%,5-10,0,Yes,Dissatisfied,Very,Somewhat,Somewhat,"Yes, frequently",Slightly,Probably not,Meets expectations,Yes,High,Very,
10-20,Executive management,Entrepreneurship,3-5,Male,26-35,10-49,Urban,United Kingdom,No,Pharma,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Marketing,3-5,Female,46-55,10-49,Suburban / agglomeration,United States,No,Marketing,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Education,5-10,Female,26-35,50-249,Suburban / agglomeration,South Africa,Yes,Education,Low,,,,,,,,,,,,7,6,7,5,6,7,5-10,5-10,1-3,Yes,0,3-5,5-10,10-20,>20,1-3,0,1-3,0,"secure, low-return financial products",0,1-3,>20,3-5,0,80%,0,3-5,No,Very satisfied,Extremely,Very,Extremely,"Yes, occasionally",Very,Probably yes,Exceeds expectations,Yes,High,Very,
0,Entry level staff,Education,0-1,Male,18-25,>1000,Suburban / agglomeration,United States,Yes,Education,Medium,,,,,,,,,,,,5,4,5,6,4,3,3-5,>20,0,Yes,0,0,1-3,3-5,3-5,10-20,1-3,3-5,3-5,"secure, low-return financial products",5-10,0,5-10,5-10,3-5,50%,1-3,3-5,No,Satisfied,Extremely,Slightly,Extremely,"Yes, frequently",Somewhat,Probably yes,Far exceeds expectations,No,,Very,High
0,Self employed / contractor,Consulting,0-1,Male,46-55,1-9,Urban,Switzerland,No,IT,Medium,Average,4,3,4,Average,Average,High (4-6 days a week),Average,Average,Average,No answer,3,3,No answer,No answer,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Program and Project Management,3-5,Male,26-35,50-249,Urban,Poland,No,Construction,Low,,,,,,,,,,,,5,3,2,4,4,6,0,0,1-3,No,0,0,1-3,1-3,0,3-5,1-3,5-10,1-3,"secure, low-return financial products",5-10,1-3,10-20,3-5,>20,80%,10-20,3-5,Yes,Satisfied,Slightly,Slightly,Slightly,"Yes, frequently",Slightly,Probably yes,Exceeds expectations,Yes,High,Extremely,
1-5,Senior staff,Program and Project Management,3-5,Female,26-35,1-9,Suburban / agglomeration,United States,Yes,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Administrative,1-3,Female,26-35,>1000,Suburban / agglomeration,Poland,No,Manufacturing,High,,,,,,,,,,,,5,6,5,4,5,5,1-3,1-3,3-5,No,1-3,1-3,1-3,5-10,3-5,>20,1-3,1-3,1-3,"secure, low-return financial products",1-3,1-3,1-3,3-5,5-10,30%,1-3,1-3,Yes,Satisfied,Slightly,Somewhat,Slightly,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,No,High,Very,
0,Einstiegsebene,Bildung,0-1,Weiblich,26-35,50-249,Städtisch,Deutschland,Ja,Bildung,Hoch,,,,,,,,,,,,7,7,6,1,7,5,0,0,0,Nein,1-3,0,0,0,1-3,10-20,3-5,1-3,0,"sichere, niedrig verzinste Finanzprodukte",0,0,1-3,0,1-3,50%,1-3,0,Ja,Zufrieden,Extrem,Sehr,Extrem,"Ja, gelegentlich",Sehr,Wahrscheinlich ja,Entspricht den Erwartungen,Nein,,Keine Antwort,Keine Antwort
5-10,Executive management,Engineering,5-10,Male,26-35,10-49,Urban,South Africa,No,Other,Medium,,,,,,,,,,,,7,7,6,6,4,7,>20,>20,5-10,No,1-3,3-5,3-5,1-3,>20,3-5,0,1-3,1-3,"secure, low-return financial products",0,1-3,>20,>20,5-10,80%,3-5,1-3,Yes,Very satisfied,Extremely,Extremely,Very,No,Very,Definitely yes,Exceeds expectations,Yes,,Very,High
0,Senior staff,Consulting,1-3,Male,26-35,50-249,Suburban / agglomeration,Switzerland,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Somewhat,Somewhat,Somewhat,No,Somewhat,Probably yes,Exceeds expectations,Yes,Very High,Very,
0,Senior staff,Human Resources,3-5,Female,36-45,1-9,Rural,Switzerland,No,Multiple,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Information Technology,3-5,Male,26-35,>1000,Urban,Germany,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Information Technology,1-3,Female,18-25,50-249,Rural,Portugal,No,IT / Software / Tech,Low,,,,,,,,,,,,6,5,5,5,2,6,0,0,0,No,0,0,0,1-3,1-3,1-3,1-3,0,3-5,"secure, low-return financial products",0,0,3-5,0,1-3,20%,0,0,Yes,Satisfied,Very,Very,Very,No,Very,Definitely yes,Exceeds expectations,No,Average,Very,
1-5,Middle management,Accounting,1-3,Male,46-55,>1000,Suburban / agglomeration,United States,Yes,Hospitality,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,Operations,3-5,Male,46-55,50-249,Rural,France,No,Manufacturing,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Administrative,1-3,Male,26-35,10-49,Rural,Kenya,No,Education,Low,,,,,,,,,,,,7,7,7,7,7,7,1-3,3-5,3-5,Yes,3-5,5-10,10-20,>20,1-3,1-3,3-5,1-3,3-5,"secure, low-return financial products",0,3-5,1-3,1-3,3-5,60%,1-3,>20,Yes,Very satisfied,Extremely,Extremely,Extremely,"Yes, occasionally",Extremely,Definitely yes,Far exceeds expectations,Yes,Very High,Extremely,
1-5,Intermediate level staff,Media and Communication,3-5,Female,26-35,1-9,Suburban / agglomeration,France,No,Media,Medium,None,4,4,2,None,Low,High (4-6 days a week),Average,Average,Average,High,6,5,3,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Consulting,3-5,Female,26-35,50-249,Suburban / agglomeration,United States,No,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Mittleres Management,Finanzen,3-5,Männlich,36-45,>1000,Ländlich,Schweiz,Nein,Finanzen,Niedrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Finance,1-3,Male,26-35,>1000,Urban,Switzerland,No,Finance,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Consulting,5-10,Male,26-35,10-49,Urban,Chile,No,Education,Low,,,,,,,,,,,,4,2,2,5,3,6,0,0,>20,No,1-3,1-3,1-3,0,0,10-20,1-3,1-3,3-5,"riskier, high-return products",1-3,3-5,1-3,0,0,50%,5-10,0,Yes,Very dissatisfied,Very,Not at all,Very,"Yes, frequently",Slightly,Probably not,Meets expectations,No,Average,Somewhat,
5-10,Geschäftsführung,Personalwesen,>10,Weiblich,56-65,50-249,Vorstadt / Ballungsraum,Schweiz,Nein,Finanzen,Niedrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Administrative,3-5,Female,26-35,50-249,Suburban / agglomeration,South Africa,Yes,Hospitality,Medium,,,,,,,,,,,,4,2,3,3,6,5,5-10,10-20,3-5,No,0,1-3,0,1-3,3-5,1-3,1-3,1-3,0,"secure, low-return financial products",0,1-3,1-3,3-5,3-5,20%,1-3,0,Yes,Dissatisfied,Somewhat,Not at all,Somewhat,"Yes, occasionally",Not at all,Probably not,Meets expectations,Yes,Average,Somewhat,
5-10,Middle management,Healthcare Services,3-5,Male,26-35,>1000,Suburban / agglomeration,United States,No,Health Care,Medium,,,,,,,,,,,,6,5,7,5,4,6,3-5,10-20,1-3,Yes,0,0,1-3,0,0,3-5,0,0,0,"secure, low-return financial products",No answer,No answer,5-10,3-5,No answer,80%,5-10,1-3,Yes,Satisfied,Extremely,Very,Extremely,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,Yes,High,No answer,
1-5,First-level management,Customer Service / Client Relations,1-3,Female,26-35,>1000,Urban,South Africa,No,Transportation,Medium,,,,,,,,,,,,5,5,6,7,3,7,1-3,1-3,5-10,Yes,0,0,3-5,1-3,>20,1-3,0,3-5,3-5,"riskier, high-return products",1-3,3-5,3-5,3-5,0,20%,0,3-5,Yes,Very satisfied,Extremely,Very,Extremely,No,Very,Definitely yes,Exceeds expectations,Yes,Very High,Very,
1-5,Middle management,Arts and Design,3-5,Female,46-55,>1000,Suburban / agglomeration,United States,No,Marketing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No answer,Senior staff,Research,>10,Female,No answer,>1000,No answer,No answer,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Senior staff,Operations,1-3,Male,26-35,>1000,Rural,Egypt,No,IT / Software / Tech,Low,,,,,,,,,,,,5,5,5,5,1,6,0,1-3,1-3,No,1-3,1-3,1-3,0,1-3,1-3,1-3,1-3,1-3,"secure, low-return financial products",1-3,1-3,3-5,3-5,1-3,40%,1-3,3-5,No,Satisfied,Very,Very,Very,"Yes, occasionally",Very,Definitely yes,Exceeds expectations,Yes,Average,Very,
0,Entry level staff,Administrative,0-1,Male,18-25,50-249,Suburban / agglomeration,United States,Yes,Construction,Medium,,,,,,,,,,,,1,5,2,5,7,2,1-3,5-10,0,No,0,0,0,0,1-3,0,0,1-3,0,"riskier, high-return products",0,1-3,0,1-3,10-20,20%,0,1-3,Yes,Very dissatisfied,Not at all,Very,Somewhat,"Yes, frequently",Very,Definitely yes,Meets expectations,No,Average,Somewhat,
5-10,Middle management,Healthcare Services,5-10,Male,26-35,>1000,Urban,Egypt,No,Pharma / Life Sciences,Medium,,,,,,,,,,,,3,6,6,7,3,6,0,0,0,No,1-3,1-3,0,1-3,3-5,5-10,1-3,0,3-5,"secure, low-return financial products",1-3,1-3,1-3,3-5,5-10,70%,1-3,0,No,Neutral,Slightly,Somewhat,Very,"Yes, frequently",Very,Probably yes,Exceeds expectations,Yes,Average,Very,
1-5,Middle management,Human Resources,1-3,Female,36-45,10-49,Rural,Germany,No,IT / Software / Tech,Medium,,,,,,,,,,,,6,5,5,6,1,5,0,0,0,No,1-3,0,0,1-3,1-3,1-3,1-3,1-3,1-3,"secure, low-return financial products",1-3,0,1-3,1-3,0,70%,3-5,1-3,No,Satisfied,Very,Extremely,Extremely,"Yes, occasionally",Very,Definitely yes,Exceeds expectations,No,High,Very,
1-5,Middle management,Product Management,1-3,Male,36-45,10-49,Urban,Switzerland,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,First-level management,Healthcare Services,1-3,Male,18-25,>1000,Urban,Egypt,No,Health Care,Low,,,,,,,,,,,,6,6,6,5,1,6,1-3,1-3,3-5,Yes,0,1-3,>20,5-10,>20,0,0,1-3,0,"riskier, high-return products",0,5-10,>20,5-10,>20,60%,0,1-3,No,Very satisfied,Extremely,Very,Extremely,No,Very,Probably yes,Exceeds expectations,Yes,High,Very,
0,Intermediate level staff,Administrative,5-10,Male,26-35,>1000,Urban,Netherlands,No,Finance,High,,,,,,,,,,,,5,7,4,5,2,7,5-10,5-10,3-5,No,0,0,0,1-3,5-10,1-3,0,1-3,3-5,"riskier, high-return products",0,5-10,1-3,1-3,3-5,10%,0,1-3,No,Satisfied,Very,Extremely,Extremely,"Yes, occasionally",Slightly,Definitely yes,Meets expectations,No,High,Somewhat,
1-5,Entry level staff,Accounting,1-3,Female,18-25,250-1000,Suburban / agglomeration,South Africa,No,Finance,Low,,,,,,,,,,,,4,5,5,3,5,7,1-3,1-3,No answer,No,0,1-3,0,3-5,5-10,1-3,0,1-3,0,"riskier, high-return products",0,1-3,0,1-3,No answer,60%,1-3,1-3,No,Satisfied,Very,Very,Very,No,Slightly,Probably yes,Meets expectations,No,High,Very,
0,Intermediate level staff,Information Technology,3-5,Male,26-35,50-249,Urban,South Africa,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,5,6,5,5,4,6,5-10,5-10,3-5,No,0,1-3,0,1-3,3-5,3-5,1-3,1-3,1-3,"riskier, high-return products",0,1-3,1-3,5-10,1-3,20%,1-3,0,No,Satisfied,Extremely,Very,Somewhat,No,Very,Definitely yes,Meets expectations,Yes,High,Somewhat,
10-20,Senior staff,Healthcare Services,3-5,Male,46-55,250-1000,Urban,Switzerland,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Executive management,Human Resources,1-3,Male,56-65,>1000,Suburban / agglomeration,Switzerland,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,Media and Communication,No answer,Female,36-45,No answer,Rural,United States,Yes,No answer,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Arts and Design,1-3,Female,26-35,250-1000,Urban,Germany,Yes,Manufacturing,High,,,,,,,,,,,,3,1,2,1,7,2,0,0,0,No,0,0,0,0,1-3,0,1-3,3-5,0,"secure, low-return financial products",0,0,3-5,0,1-3,30%,1-3,0,No,Dissatisfied,Not at all,Not at all,Not at all,"Yes, frequently",Not at all,Definitely not,Much below expectations,No,Very High,Not at all,
1-5,First-level management,Operations,1-3,Female,26-35,250-1000,Suburban / agglomeration,Canada,No,Construction,Medium,,,,,,,,,,,,7,5,6,7,3,6,1-3,1-3,5-10,No,0,0,3-5,3-5,1-3,0,1-3,1-3,10-20,"secure, low-return financial products",0,1-3,10-20,3-5,1-3,70%,0,3-5,No,Dissatisfied,Somewhat,Somewhat,Somewhat,"Yes, frequently",Somewhat,Probably not,Far exceeds expectations,No,Very High,Extremely,
1-5,Self employed / contractor,Operations,>10,Female,36-45,1-9,Suburban / agglomeration,United States,Yes,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Education,0-1,Female,26-35,1-9,Urban,Poland,Yes,Education,High,,,,,,,,,,,,5,4,4,3,4,4,0,0,0,No,1-3,1-3,1-3,1-3,1-3,>20,1-3,0,0,"secure, low-return financial products",1-3,0,1-3,0,0,80%,3-5,1-3,No,Neutral,Slightly,Not at all,Slightly,"Yes, occasionally",Slightly,Not sure,Meets expectations,No,Average,Slightly,
1-5,Middle management,Program and Project Management,0-1,Female,36-45,10-49,Urban,Canada,Yes,Hospitality,Medium,,,,,,,,,,,,4,3,3,1,5,7,0,0,0,No,0,0,0,0,5-10,>20,3-5,1-3,0,"secure, low-return financial products",3-5,0,1-3,1-3,0,60%,1-3,1-3,No,Dissatisfied,Not at all,Not at all,Slightly,"Yes, occasionally",Slightly,Probably not,Exceeds expectations,Yes,Average,Extremely,
0,Self employed / contractor,Administrative,>10,Female,56-65,1-9,Rural,United States,No,Marketing,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Education,5-10,Male,>65,1-9,Suburban / agglomeration,France,No,Education,Low,Average,1,1,1,None,Average,Average (2-3 days a week),High,High,High,Average,6,6,5,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Middle management,Education,>10,Female,36-45,50-249,Urban,United States,Yes,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Sales,>10,Male,46-55,>1000,Suburban / agglomeration,United States,Yes,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Middle management,Operations,3-5,Male,36-45,>1000,Suburban / agglomeration,Kenya,No,Other,Low,,,,,,,,,,,,4,3,5,7,3,7,0,10-20,>20,Yes,0,1-3,5-10,3-5,>20,>20,1-3,>20,0,"riskier, high-return products",3-5,>20,10-20,3-5,0,50%,10-20,3-5,Yes,Very dissatisfied,Extremely,Extremely,Not at all,"Yes, frequently",Very,Definitely yes,Exceeds expectations,Yes,Very High,Extremely,
0,Intermediate level staff,Research,0-1,Male,36-45,>1000,Suburban / agglomeration,United States,Yes,Education,Medium,,,,,,,,,,,,2,3,3,3,4,6,5-10,>20,3-5,No,1-3,0,3-5,3-5,3-5,3-5,3-5,3-5,3-5,"secure, low-return financial products",No answer,3-5,3-5,0,0,50%,0,0,Yes,Neutral,Slightly,Slightly,Slightly,"Yes, occasionally",Slightly,Probably not,Meets expectations,No,,Slightly,Average
0,No answer,No answer,No answer,Male,26-35,No answer,Urban,United States,Yes,No answer,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Education,>10,Female,36-45,>1000,Urban,United States,Yes,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Middle management,Business Development,>10,Male,46-55,>1000,Urban,China,No,Agriculture,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Support,1-3,Female,26-35,250-1000,Urban,United States,Yes,Government / Public Administration,High,,,,,,,,,,,,1,1,1,5,7,5,0,0,0,No,0,0,1-3,3-5,3-5,1-3,1-3,1-3,0,"secure, low-return financial products",1-3,1-3,1-3,1-3,No answer,No answer,No answer,0,Yes,Very dissatisfied,Somewhat,Somewhat,Slightly,"Yes, frequently",Not at all,Definitely not,Meets expectations,Yes,,Very,High
5-10,Middle management,Program and Project Management,3-5,Female,36-45,250-1000,Rural,United States,No,Government,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Engineering,1-3,Female,18-25,250-1000,Urban,Austria,Yes,IT / Software / Tech,High,,,,,,,,,,,,3,5,7,5,5,5,0,0,0,No,0,0,0,1-3,1-3,3-5,1-3,3-5,1-3,"secure, low-return financial products",0,0,1-3,0,0,60%,1-3,0,No,Neutral,Somewhat,Somewhat,Somewhat,"Yes, frequently",Somewhat,Probably yes,Meets expectations,No,,No answer,Average
5-10,First-level management,Engineering,3-5,Male,36-45,250-1000,Urban,Egypt,Yes,Energy,Medium,,,,,,,,,,,,5,3,7,2,3,7,0,0,10-20,Yes,5-10,1-3,0,0,3-5,5-10,0,0,0,"secure, low-return financial products",0,10-20,3-5,1-3,5-10,40%,0,1-3,No,Very satisfied,Somewhat,Slightly,Very,No,Somewhat,Probably yes,Meets expectations,Yes,High,Somewhat,
1-5,Middle management,Accounting,>10,Female,46-55,>1000,Suburban / agglomeration,South Africa,No,Government / Public Administration,Low,,,,,,,,,,,,5,4,2,7,1,5,3-5,>20,3-5,No,0,1-3,0,1-3,0,1-3,0,1-3,0,"secure, low-return financial products",1-3,0,1-3,3-5,1-3,40%,3-5,1-3,No,Satisfied,Extremely,Very,Extremely,"Yes, occasionally",Slightly,Probably yes,Exceeds expectations,Yes,High,Extremely,
1-5,Executive management,Healthcare Services,5-10,Male,46-55,1-9,Suburban / agglomeration,Switzerland,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Sales,>10,Male,56-65,250-1000,Suburban / agglomeration,United States,Yes,Manufacturing,High,,,,,,,,,,,,4,4,5,2,6,5,0,0,0,No,0,0,0,1-3,0,0,0,1-3,3-5,"secure, low-return financial products",1-3,0,0,>20,0,30%,1-3,0,Yes,Dissatisfied,Not at all,Somewhat,Somewhat,"Yes, frequently",Slightly,Probably not,Meets expectations,Yes,Average,Somewhat,
1-5,Executive management,Entrepreneurship,>10,Female,56-65,1-9,Suburban / agglomeration,United Kingdom,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Information Technology,1-3,Male,56-65,>1000,Rural,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
